lga,amount,hit_run,total_persons,fatality,injury,males,females,old_driver,young_driver,alcohol_related
ALPINE,43,0,68,2,46,47,21,3,4,3
ARARAT,24,0,54,0,28,31,23,1,9,0
BALLARAT,244,14,634,3,328,325,289,19,103,15
BANYULE,202,12,481,2,236,272,185,17,62,9
BASS COAST,81,3,195,2,118,107,83,6,31,4
BAW BAW,172,1,371,6,235,220,142,7,55,7
BAYSIDE,179,4,431,3,222,224,191,22,44,4
BENALLA,42,0,99,3,57,57,41,2,18,3
BOROONDARA,380,16,864,3,444,456,370,31,116,11
BRIMBANK,429,28,1104,11,544,655,387,13,164,19
BULOKE,18,0,37,3,24,20,15,2,3,2
CAMPASPE,93,1,204,2,135,116,84,7,39,1
CARDINIA,217,7,491,9,268,270,195,7,77,10
CASEY,540,28,1393,4,707,730,604,29,242,25
CENTRAL GOLDFIELDS,38,0,74,1,43,44,29,4,8,4
COLAC OTWAY,78,1,157,6,96,93,62,3,20,1
CORANGAMITE,61,2,154,4,101,96,49,4,22,2
DAREBIN,311,26,739,2,381,427,266,19,91,10
EAST GIPPSLAND,156,7,316,8,209,179,125,15,31,5
FALLS CREEK ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
FRANKSTON,244,14,639,4,344,354,262,21,93,13
GANNAWARRA,25,0,50,0,33,33,17,1,6,3
GLEN EIRA,296,24,720,2,354,386,304,32,76,6
GLENELG,45,1,98,0,63,58,37,3,15,2
GOLDEN PLAINS,43,3,79,2,61,54,22,2,10,8
GREATER BENDIGO,0,0,0,0,0,0,0,0,0,0
GREATER DANDENONG,0,0,0,0,0,0,0,0,0,0
GREATER GEELONG,0,0,0,0,0,0,0,0,0,0
GREATER SHEPPARTON,0,0,0,0,0,0,0,0,0,0
HEPBURN,57,2,114,3,73,68,42,2,10,4
HINDMARSH,18,0,31,1,23,26,5,0,5,3
HOBSONS BAY,169,10,449,0,228,242,183,9,52,11
HORSHAM,49,1,121,3,67,70,51,4,23,4
HUME,371,23,961,5,497,536,384,6,161,13
INDIGO,30,0,60,0,45,33,26,2,8,0
KINGSTON,298,11,806,3,396,421,364,25,101,13
KNOX,305,17,805,2,391,431,359,17,116,12
LAKE MOUNTAIN ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
LATROBE,183,10,450,3,252,257,188,10,74,7
LODDON,31,0,60,1,43,36,23,3,10,3
MACEDON RANGES,107,6,242,1,150,127,104,3,42,3
MANNINGHAM,184,8,436,1,238,216,204,16,54,6
MANSFIELD,47,0,70,0,59,52,17,0,11,2
MARIBYRNONG,220,18,546,0,263,286,215,6,53,9
MAROONDAH,249,18,682,5,339,350,298,26,111,13
MELBOURNE,912,78,2237,7,1016,1296,791,17,234,12
MELTON,192,12,513,7,252,286,206,6,78,11
MILDURA,113,5,306,3,163,171,127,13,41,9
MITCHELL,116,2,236,6,155,148,83,4,32,8
MOIRA,63,0,144,10,90,84,53,2,18,8
MONASH,356,16,945,5,458,501,399,30,140,11
MOONEE VALLEY,216,15,556,1,258,305,221,6,79,5
MOORABOOL,79,1,162,5,108,104,55,4,36,8
MORELAND,427,37,1065,3,509,628,366,19,138,11
MORNINGTON PENINSULA,330,21,819,9,434,435,350,37,107,10
MOUNT ALEXANDER,48,0,99,1,59,51,48,3,12,3
MOUNT BAW BAW ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOUNT BULLER ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOUNT HOTHAM ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOYNE,43,1,80,2,60,42,34,3,10,2
MURRINDINDI,86,0,175,5,114,115,55,4,9,4
NILLUMBIK,116,4,262,3,170,149,106,7,40,6
NORTHERN GRAMPIANS,35,0,99,2,61,54,42,7,5,2
PORT PHILLIP,284,17,684,1,334,391,251,20,63,4
PYRENEES,29,0,54,4,40,34,18,0,6,2
QUEENSCLIFFE,2,0,3,0,2,2,1,0,1,0
SOUTH GIPPSLAND,108,3,222,6,124,137,82,5,43,4
SOUTHERN GRAMPIANS,33,0,69,7,39,41,28,2,7,0
STONNINGTON,355,24,836,2,421,460,325,30,96,6
STRATHBOGIE,39,0,62,0,44,48,14,0,8,6
SURF COAST,90,1,236,8,127,130,105,4,30,8
SWAN HILL,40,1,111,2,54,61,45,3,8,5
TOWONG,25,0,37,0,30,26,11,0,2,0
WANGARATTA,67,5,134,5,88,75,56,6,21,5
WARRNAMBOOL,51,1,122,1,59,62,59,4,19,3
WELLINGTON,143,5,296,8,178,186,94,9,34,8
WEST WIMMERA,12,0,14,3,10,11,3,3,3,0
WHITEHORSE,280,14,743,5,358,391,320,31,108,6
WHITTLESEA,290,16,732,5,373,410,290,14,108,12
WODONGA,55,4,140,1,74,74,55,5,18,0
WYNDHAM,253,22,642,10,354,333,269,6,95,10
YARRA,360,35,812,1,391,467,290,12,74,7
YARRA RANGES,390,12,859,10,514,486,348,17,137,16
YARRIAMBIACK,10,0,15,0,12,10,5,0,2,1
